"","NAME","YEAR","TEAM","TIME"
"2165","Guzman, Eli","SO-2","Webster","29:14.2"
"2166","Clemmensen, Beau","JR-3","Wis.-River Falls","29:17.6"
"2167","Heckman, Zachary","FR-1","Concordia (Wis.)","29:19.3"
"2168","Keyes, Stevie","FR-1","Principia","29:20.6"
"2169","Jimenez, Mikos","SO-2","Aurora","29:22.0"
"2170","Cervantes, Javier","SO-2","Webster","29:29.4"
"2171","Marrese-Wheeler, Sam","SO-2","Lawrence","29:37.4"
"2172","Townsend, Nathaniel","SO-2","Iowa Wesleyan","29:38.6"
"2173","Northey , Tyler","SO-2","Wis.-River Falls","29:40.4"
"2174","Anton, Caleb","FR-1","Wis.-River Falls","29:41.3"
"2175","Fedderke, Jacob","SO-2","Illinois College","29:44.5"
"2176","Viveros, Fernando","SO-2","Aurora","29:47.0"
"2177","Santos, Brian","SO-2","Elmhurst","29:55.9"
"2178","Hoopman, Quinn","FR-1","Concordia (Wis.)","30:01.3"
"2179","Barrett, J.D.","FR-1","Illinois Wesleyan","30:01.4"
"2180","Conway, Gavin","FR-1","Monmouth (Ill.)","30:04.6"
"2181","Callebaut, Antoine","FR-1","Rockford University","30:06.9"
"2182","Hiebl , Nick","FR-1","Wis.-River Falls","30:16.3"
"2183","Natchwey, Michael","SO-2","Edgewood","30:18.1"
"2184","Conroy, Brendan","FR-1","Illinois Tech","30:26.6"
"2185","Mwaura, Chris","FR-1","Principia","30:27.7"
"2186","Tesch, Elijah","SR-4","Wisconsin Lutheran","30:29.3"
"2187","Ulwelling, AJ","FR-1","Lawrence","30:34.6"
"2188","Penn, Mauricio","JR-3","Beloit","30:43.6"
"2189","Hutchinson, Ryan","SO-2","Iowa Wesleyan","30:51.4"
"2190","Gumieny, JJ","FR-1","Edgewood","30:51.4"
"2191","Saleem, Mohammed","JR-3","Illinois Tech","30:52.8"
"2192","Baker, Alexander","JR-3","Knox","30:53.5"
"2193","Pratt, Aiden","SR-4","Lake Forest","30:55.8"
"2194","Aguilar, Luis","SO-2","Dominican (Ill.)","30:57.8"
"2195","Perrine, Parker","FR-1","Illinois College","31:06.5"
"2196","McArthur, Liam","FR-1","Greenville","31:12.1"
"2197","Tower Jr. , John","JR-3","Beloit","31:16.1"
"2198","DiGioia, Chris","JR-3","Benedictine (Ill.)","31:20.7"
"2199","Folkman, Derrick","SO-2","Concordia (Wis.)","31:28.1"
"2200","Garcia, Julian","SO-2","Lawrence","31:41.4"
"2201","Brown, Lucas","FR-1","Illinois College","31:58.8"
"2202","Keyes, Sammy","JR-3","Principia","32:05.6"
"2203","Ruona, Derek","FR-1","Concordia (Wis.)","32:08.2"
"2204","Whitehead, Lionel","FR-1","Lake Forest","32:08.4"
"2205","Jimenez, Juan Carlos","FR-1","Knox","32:10.0"
"2206","Cieply, Skylyr","FR-1","Principia","32:15.2"
"2207","Canton, Anthony","SR-4","Illinois College","32:21.8"
"2208","Chauhan, Harsheath","FR-1","Knox","32:38.8"
"2209","Byrne, Derrick","SR-4","Edgewood","32:49.9"
"2210","Salgado, Alexis","JR-3","Dominican (Ill.)","33:10.0"
"2211","Johnson, Brandon","SO-2","Lake Forest","33:42.0"
"2212","Marklin , Nathan","JR-3","Beloit","33:42.5"
"2213","Williams, Matthew","SO-2","Dominican (Ill.)","33:44.3"
"2214","De La Cruz Jandete, Chuy","FR-1","Principia","34:03.3"
"2215","Tse, Ka Yu","SR-4","Wisconsin Lutheran","34:06.7"
"2216","Doebler, Caleb","FR-1","Wisconsin Lutheran","34:15.2"
"2217","Barajas, Chris","FR-1","Knox","35:03.3"
"2218","Viise, Gustav","SO-2","Dominican (Ill.)","35:17.7"
"2219","Geisler, Blake","SO-2","Knox","36:08.5"
"2220","Hernandez, Gadiel","SO-2","Dominican (Ill.)","36:13.9"
