"","NAME","YEAR","TEAM","TIME","DATE","COURSE"
"225","DeLuca, Nick","SR-4","St. Joseph's (L.I.)","29:35.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"226","Havens, Kevin","FR-1","St. John Fisher","29:37.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"227","Moade, Patrick","SO-2","Morrisville State","29:39.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"228","Recinos, Jose","FR-1","New Jersey City","29:41.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"229","Howe, Jacob","SO-2","Utica","29:42.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"230","Keally, Colin","SR-4","Union (N.Y.)","29:46.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"231","Humphrey, Ryan","SR-4","Utica","29:51.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"232","Spoor, Ian","FR-1","Union (N.Y.)","29:52.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"233","Mecca, George","FR-1","Alfred","29:56.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"234","McKenna, Corey","JR-3","Manhattanville","29:56.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"235","Shad, Montaka","SO-2","Buffalo State","29:59.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"236","Craig, Ethan","SR-4","Union (N.Y.)","30:00.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"237","Schoenfield, Justin","SO-2","SUNY Poly","30:01.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"238","Day, Jules","FR-1","CCNY","30:03.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"239","Yeager, Adam","SO-2","St. John Fisher","30:04.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"240","Mayo, Chris","SO-2","Alfred","30:04.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"241","Coughlin, Ronan","FR-1","Union (N.Y.)","30:05.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"242","Clarke, Wesley","FR-1","Oswego State","30:05.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"243","Helinski, Harrison","JR-3","Hartwick","30:06.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"244","Barnhardt, Andrew","SO-2","Rutgers-Camden","30:13.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"245","Perperian, John","SO-2","Oswego State","30:24.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"246","Garcia, Jorge","FR-1","SUNY Cobleskill","30:26.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"247","Merlino, Cameron","SO-2","Stockton","30:30.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"248","Hristidis, Anthony","FR-1","St. Joseph's (L.I.)","30:33.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"249","Nelson, Omar","SO-2","Hartwick","30:35.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"250","Full, Kyle","SO-2","Alfred","30:35.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"251","Tagliati, Luca","FR-1","Bard","30:36.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"252","Qadri, Muhammed","JR-3","CCNY","30:36.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"253","Falso, Stewy","SO-2","Hobart","30:37.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"254","Barry, Amadou","FR-1","Baruch","30:37.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"255","Montecalvo, Jason","FR-1","Hobart","30:43.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"256","Morales, Matthew","SR-4","Oswego State","30:44.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"257","Bruen, Christopher","FR-1","SUNY Cobleskill","30:45.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"258","Aquino, Luis","SR-4","Baruch","30:50.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"259","Braun, Owen","SR-4","Morrisville State","30:52.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"260","Berube, Nicholas","FR-1","SUNY Poly","31:02.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"261","Ward, Sean","JR-3","Rutgers-Camden","31:07.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"262","Eagen, Benjamin","FR-1","Bard","31:20.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"263","D'Angelo , Josh","JR-3","Potsdam St.","31:21.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"264","Yung, Ethan","JR-3","Houghton","31:22.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"265","Angel Gisone, Miguel","FR-1","Rutgers-Camden","31:28.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"266","Anderson, Anjae","FR-1","Morrisville State","31:32.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"267","Shaw, AJ","SO-2","Rutgers-Camden","31:33.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"268","Lulani, Armend","FR-1","Baruch","31:34.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"269","O'Toole, Nicholas","SO-2","Union (N.Y.)","31:36.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"270","Grady, William","SO-2","SUNY Poly","31:38.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"271","Singh, Jaskirt","SO-2","New Jersey City","31:39.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"272","Anderson, Jeremy","JR-3","St. Joseph's (L.I.)","31:42.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"273","Jawneh, Muhammed","SR-4","New Jersey City","31:48.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"274","Cornejo, Luis","SO-2","Rutgers-Camden","31:50.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"275","Every, Zane","SO-2","SUNY Cobleskill","31:53.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"276","Cheney, Winston","SR-4","Bard","31:58.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"277","Hyde, Andrew","FR-1","Potsdam St.","31:59.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"278","Attardi, Jeffery","SR-4","USMMA","32:06.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"279","Brown, Matt","JR-3","Potsdam St.","32:10.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"280","Crocco, Anthony","SO-2","Manhattanville","32:27.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"281","Goehl, Kevin","SR-4","Manhattanville","32:28.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"282","Rivera, Damian","FR-1","CCNY","32:31.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"283","Turim, Rainer","SO-2","Bard","32:34.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"284","Hill, Robert","SR-4","Morrisville State","32:40.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"285","Drake, Logan","JR-3","Potsdam St.","32:47.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"286","Chaudhry, Ali","SO-2","New Jersey City","33:27.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"287","Kpodo, Adnan","FR-1","New Jersey City","33:28.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"288","Hoo, Caleb","FR-1","Baruch","33:34.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"289","May, William","SO-2","Hartwick","34:03.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"290","Lema, Jovan","FR-1","Baruch","34:22.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"291","Colon, Samuel","FR-1","New Jersey City","34:44.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"292","Maine, Vinny","JR-3","Rutgers-Camden","34:59.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"293","Waltman, Sean","SO-2","Hartwick","35:11.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"294","Bekauri, Beka","FR-1","Hobart","35:28.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"295","Lee, Ethan","FR-1","Hartwick","35:32.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"296","Araque, Brian","SR-4","Bard","36:13.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"297","Carrasquillo, Andrew","SR-4","Mt. St. Vincent","36:36.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"298","Jones, Matthew","SO-2","Mt. St. Vincent","37:38.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"299","Sanchez, Matthew","SO-2","Baruch","37:54.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"300","Wilkinson, Matthew","JR-3","Carleton","24:56.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"301","Freiburger, Joe","JR-3","Wartburg","25:20.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"302","Mueller, Lucas","JR-3","Carleton","25:38.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"303","Shirley-Fairbairn, Morgan","SO-2","Wartburg","25:41.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"304","Meikle, Cameron","SR-4","Carleton","25:42.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"305","Wachter, Karl","SR-4","St. Thomas (Minn.)","25:43.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"306","Guttormson, Luke","SO-2","Loras","25:48.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"307","Benitez, Fernando","SR-4","Hamline","25:49.2","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"308","Stumbo, Andrew","JR-3","Gustavus Adolphus","25:50.3","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"309","Gustafson, Frank","JR-3","Hamline","25:50.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"310","Martin, Dalton","SO-2","Wartburg","25:55.2","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"311","Kadrofske, Elliot","SR-4","St. Olaf","25:57.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"312","Lelinga, Ezekiel","JR-3","Bethel (Minn.)","25:59.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"313","Grant, Garet","SO-2","Gustavus Adolphus","26:01.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"314","McGivern, George","SR-4","St. Thomas (Minn.)","26:04.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"315","Collet, Christopher","FR-1","Wartburg","26:04.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"316","Kelly, Ian","FR-1","Luther","26:05.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"317","Schillinger, Sam","SO-2","Luther","26:07.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"318","Conroy, Liam","JR-3","Wartburg","26:10.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"319","Bowman, Henry","FR-1","Carleton","26:11.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"320","Lonergan, Sean","SR-4","St. Olaf","26:13.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"321","Ellefson-Carnes, Arne","FR-1","St. Olaf","26:14.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"322","Foss, Easton","SR-4","St. Scholastica","26:14.1","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"323","Wolak, Patrick","SR-4","Loras","26:15.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"324","Brenk, Christopher","SR-4","St. Olaf","26:16.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"325","Appleton, Caleb","SR-4","Wartburg","26:17.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"326","Lavey, Stephen","SO-2","Carleton","26:18.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"327","Primozich, Sam","JR-3","St. Olaf","26:18.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"328","Sanders, Nate","JR-3","Central College","26:18.6","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"329","Moon, Spencer","FR-1","Simpson (Iowa)","26:18.6","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"330","Santos, Ben","SO-2","Carleton","26:19.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"331","Haire, Zach","FR-1","St. Thomas (Minn.)","26:20.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"332","Wiel, Biel","SO-2","St. Thomas (Minn.)","26:20.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"333","Lieberman, Matthew","JR-3","Grinnell","26:27.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"334","Altier, Tom","SO-2","Luther","26:28.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"335","Sather, Zak","FR-1","Carleton","26:29.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"336","Biechler, Mark","SO-2","Dubuque","26:29.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"337","Iselin, Dan","JR-3","Luther","26:29.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"338","Decker, Preston","JR-3","Nebraska Wesleyan","26:31.3","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"339","Sunvold, Daniel","SR-4","Central College","26:31.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"340","Collins, Tremayne","SR-4","St. John's (Minn.)","26:32.2","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"341","DeHaan, Will","SO-2","Central College","26:33.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"342","Kozlowski, Carl","JR-3","St. Thomas (Minn.)","26:34.1","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"343","Kern, Collin","SR-4","Luther","26:37.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"344","Mendel, Ike","SO-2","Bethel (Minn.)","26:39.1","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"345","Havens, Tyler","SR-4","Loras","26:39.2","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"346","Schultz, Joey","JR-3","Loras","26:40.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"347","Facio, Jonathan","SR-4","Simpson (Iowa)","26:41.2","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"348","Boedigheimer, Isaac","JR-3","St. Scholastica","26:43.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"349","Nemanich, Thomas","FR-1","St. John's (Minn.)","26:45.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"350","Wicklund, Ben","SO-2","Gustavus Adolphus","26:46.3","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"351","Pinkowski, Sam","JR-3","Wartburg","26:46.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"352","Johnson, Adrian","JR-3","Macalester","26:49.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"353","Weist, Kaleb","SR-4","Nebraska Wesleyan","26:50.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"354","Davidson, Aaron","SO-2","Cornell College","26:50.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"355","Diekmann, Dillon","SO-2","St. John's (Minn.)","26:51.3","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"356","Dewall, Lars","FR-1","St. Scholastica","26:51.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"357","Vasquez, Andy","SR-4","Nebraska Wesleyan","26:53.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"358","Breheny, Shane","JR-3","Simpson (Iowa)","26:55.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"359","Sansone, Keegan","SO-2","St. Thomas (Minn.)","26:56.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"360","Webb, Noah","JR-3","St. John's (Minn.)","26:57.3","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"361","Halverson, Josh","JR-3","Bethel (Minn.)","26:57.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"362","Silver, Caleb","FR-1","Central College","26:59.1","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"363","Goldsmith, Andy","SO-2","St. John's (Minn.)","27:00.6","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"364","Hayes, Logan","SR-4","Loras","27:03.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"365","Weijenberg, Norbert","FR-1","Nebraska Wesleyan","27:03.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"366","Pennell, Pierce","SO-2","Nebraska Wesleyan","27:04.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"367","Nostrala, Seth","JR-3","Simpson (Iowa)","27:06.8","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"368","Wicklund, Eric","SR-4","Concordia-Moorhead","27:08.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"369","Kosche, Reuben","SO-2","St. Olaf","27:09.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"370","Sabala, Easton","SO-2","Central College","27:10.0","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"371","Baldus, Eric","FR-1","Simpson (Iowa)","27:13.2","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"372","Courtney, Ryan","JR-3","Simpson (Iowa)","27:13.3","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"373","Johnson, Noah","SO-2","Gustavus Adolphus","27:14.7","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"374","Weber, Colin","SR-4","Luther","27:15.4","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"375","Isahak, Munir","JR-3","Concordia-Moorhead","27:17.9","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"376","Olson, Tanner","FR-1","Concordia-Moorhead","27:18.5","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
"377","Lyford, Derk","FR-1","St. Olaf","27:18.6","November 16, 2019
","
Wartburg College
Waverly, IA 50677
  "
