"","X","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE","MEETNAME_CORR","Score"
"109",422,"Pangallozzi, Jared","JR-3","Johns Hopkins","25:42.6","September 20, 2019
","Iona Br. Paddy Doyle Meet of Champions","
Van Cortlandt Park
Bronx, NY 
  ","Iona_Br._Paddy_Doyle_Meet_of_Champions","124"
"110",423,"Laidlaw, Sean","SO-2","Johns Hopkins","25:57.9","September 20, 2019
","Iona Br. Paddy Doyle Meet of Champions","
Van Cortlandt Park
Bronx, NY 
  ","Iona_Br._Paddy_Doyle_Meet_of_Champions","124"
"111",425,"Hines, Declan","JR-3","Johns Hopkins","26:13.3","September 20, 2019
","Iona Br. Paddy Doyle Meet of Champions","
Van Cortlandt Park
Bronx, NY 
  ","Iona_Br._Paddy_Doyle_Meet_of_Champions","124"
"112",426,"Dye, Patrick","JR-3","Johns Hopkins","26:26.1","September 20, 2019
","Iona Br. Paddy Doyle Meet of Champions","
Van Cortlandt Park
Bronx, NY 
  ","Iona_Br._Paddy_Doyle_Meet_of_Champions","124"
"113",430,"Murray, PJ","SR-4","Johns Hopkins","26:39.6","September 20, 2019
","Iona Br. Paddy Doyle Meet of Champions","
Van Cortlandt Park
Bronx, NY 
  ","Iona_Br._Paddy_Doyle_Meet_of_Champions","124"
"114",451,"Nault, Tyler","SR-4","Wis.-La Crosse","24:40.9","November 16, 2019
","NCAA Division III Midwest Region Cross Country Championships","
Lake Breeze Golf Course
Winneconne, WI 
  ","NCAA_Division_III_Midwest_Region_Cross_Country_Championships","73"
"115",452,"Schraeder, Josh","SR-4","Wis.-La Crosse","24:55.4","November 16, 2019
","NCAA Division III Midwest Region Cross Country Championships","
Lake Breeze Golf Course
Winneconne, WI 
  ","NCAA_Division_III_Midwest_Region_Cross_Country_Championships","73"
"116",453,"Schommer, Peter","JR-3","Wis.-La Crosse","25:23.9","November 16, 2019
","NCAA Division III Midwest Region Cross Country Championships","
Lake Breeze Golf Course
Winneconne, WI 
  ","NCAA_Division_III_Midwest_Region_Cross_Country_Championships","73"
"117",454,"Bourland, Matt","SR-4","Wis.-La Crosse","25:29.4","November 16, 2019
","NCAA Division III Midwest Region Cross Country Championships","
Lake Breeze Golf Course
Winneconne, WI 
  ","NCAA_Division_III_Midwest_Region_Cross_Country_Championships","73"
"118",455,"Pahnke, Chris","JR-3","Wis.-La Crosse","25:30.3","November 16, 2019
","NCAA Division III Midwest Region Cross Country Championships","
Lake Breeze Golf Course
Winneconne, WI 
  ","NCAA_Division_III_Midwest_Region_Cross_Country_Championships","73"
"119",456,"Gregg, Ethan","FR-1","Wis.-La Crosse","25:33.3","November 16, 2019
","NCAA Division III Midwest Region Cross Country Championships","
Lake Breeze Golf Course
Winneconne, WI 
  ","NCAA_Division_III_Midwest_Region_Cross_Country_Championships","73"
"120",458,"Schraeder, Josh","SR-4","Wis.-La Crosse","25:38.7","November  02, 2019
","WIAC Conference Championships","
Cole Acres Country Club
Platteville, WI 53818
  ","WIAC_Conference_Championships","147"
"121",459,"Nault, Tyler","SR-4","Wis.-La Crosse","26:06.2","November  02, 2019
","WIAC Conference Championships","
Cole Acres Country Club
Platteville, WI 53818
  ","WIAC_Conference_Championships","147"
"122",460,"Schommer, Peter","JR-3","Wis.-La Crosse","26:28.9","November  02, 2019
","WIAC Conference Championships","
Cole Acres Country Club
Platteville, WI 53818
  ","WIAC_Conference_Championships","147"
